price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,PROPERTY SIZE,CONDITION,FURNISHING,PETS,FACILITIES,SERVICE CHARGE,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE
"₦ 600,000","Lagos, Isolo, Ago Palace",Apartment,1 bedroom,2 bathrooms,per quarter,Avenue,,600 sqm,Newly Built,Unfurnished,,,,,,
"₦ 723,250","Kaduna, Kaduna / Kaduna State",Block of Flats,1 bedroom,1 bathroom,anually,"Phase 1, Barnawa",Phase 1,,Newly Built,Furnished,,"Chandelier,Pop Ceiling,24 Hours Electricity,Tiled Floor,Air Conditioning,Dishwasher,Dining Area,Balcony,Kitchen Cabinets,Pre Paid Meter,Wardrobe,Kitchen Shelf,Hot Water",,55000,,50000
"₦ 300,000","Rivers, Obio-Akpor",Block of Flats,1 bedroom,1 bathroom,per annum,Centenary Estate's Eneka,Centenary gardens Estate Eneka,,Newly Built,Furnished,No Pets,,Yes,30000,15000,30000
"₦ 600,000","Lagos, Ajah",Apartment,1 bedroom,2 bathrooms,anually,"UNITY ESTATE ALONG BADORE ROAD,AJAH",UNITY ESTATE,450 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Dishwasher,Pop Ceiling,Dining Area,Wardrobe,Tiled Floor,Wi-Fi,Balcony,Pre Paid Meter,Kitchen Cabinets,Kitchen Shelf",,,,
"₦ 220,000","Osun, Osogbo",Bungalow,1 bedroom,2 bathrooms,per quarter,A ROOM AND SELF CONTAIN AT FOUNTAIN AREA OSHOGBO,FOUNTAIN ROAD OSHOGBO,1200 sqm,Newly Built,Furnished,No Pets,"Dining Area,Hot Water,Chandelier,Kitchen Cabinets,Kitchen Shelf,Balcony,Dishwasher,Pop Ceiling,24 Hours Electricity,Air Conditioning",Yes,30000,30000,20000
"₦ 115,000","Oyo, Ido",Mini Flat,1 bedroom,1 bathroom,per annum,Located immediatly after Awotan junction,Dtb,450 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Dishwasher,Pre Paid Meter,Kitchen Shelf,Tiled Floor,Kitchen Cabinets",,10,10,10
"₦ 150,000",none,Apartment,1 bedroom,1 bathroom,per quarter,ifite Awka,,450 sqm,Newly Built,Unfurnished,No Pets,,,,,
"₦ 170,000",none,Bungalow,1 bedroom,1 bathroom,per quarter,atimbo,smart property,13 sqm,Fairly Used,Unfurnished,No Pets,"24 Hours Electricity,Kitchen Cabinets,Balcony,Kitchen Shelf",,,,
"₦ 300,000",none,Bungalow,1 bedroom,2 bathrooms,per quarter,satellite town,smart property,13 sqm,Fairly Used,Unfurnished,No Pets,"Dining Area,24 Hours Electricity,Kitchen Cabinets,Balcony,Kitchen Shelf",,,,
"₦ 350,000","Enugu, Enugu / Enugu State",Block of Flats,1 bedroom,2 bathrooms,per quarter,ogui road,,900 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Dining Area,Pop Ceiling,Pre Paid Meter,Wardrobe,Tiled Floor,Balcony,Kitchen Shelf,Kitchen Cabinets,24 Hours Electricity",,,,
"₦ 200,000",none,Apartment,1 bedroom,2 bathrooms,per quarter,atimbo off nyangasang,smart property,13 sqm,Newly Built,Unfurnished,No Pets,"Kitchen Cabinets,24 Hours Electricity,Dining Area,Balcony,Kitchen Shelf",,,,
"₦ 1,400,000","Lagos, Lekki, Lekki Phase 1",Studio Apartment,1 bedroom,1 bathroom,per quarter,"Akin Onitiri Cole Street,",Lekki phase one,,Fairly Used,Unfurnished,No Pets,"Hot Water,Tiled Floor,Wardrobe,Kitchen Cabinets,Pre Paid Meter,Apartment,Balcony,Pop Ceiling,Kitchen Shelf",,,,
"₦ 250,000","Anambra, Awka",House,1 bedroom,2 bathrooms,per annum,Ichida street,Ichida street,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Tiled Floor,24 Hours Electricity,Wi-Fi,Pre Paid Meter,Wardrobe,Balcony,Dining Area",Yes,50000,50000,30000
"₦ 1,800,000","Lagos, Lekki",Block of Flats,1 bedroom,2 bathrooms,per annum,Chevron,Chevyview,,Newly Built,Semi-Furnished,,"Balcony,Kitchen Cabinets,Tiled Floor,Kitchen Shelf,Pre Paid Meter,Dining Area,Dishwasher,Pop Ceiling,Hot Water,TV",Yes,180000,180000,200
"₦ 150,000",none,Apartment,1 bedroom,1 bathroom,per annum,"Kosta Hostel, Close to Nnamdi Azikiwe University Awka",Kosta Hostel ( Kruz Enterprise),,Fairly Used,Semi-Furnished,Pets Allowed,"Balcony,Tiled Floor,24 Hours Electricity,Wardrobe",,,,
"₦ 300,000",none,Apartment,1 bedroom,2 bathrooms,per annum,Ifite Awka Anambra State,Ifite Awka,,Fairly Used,Semi-Furnished,Pets Allowed,"24 Hours Electricity,Tiled Floor,Balcony,Hot Water",,,,
"₦ 200,000","Enugu, Enugu / Enugu State",House,1 bedroom,1 bathroom,per annum,OFF INDEPENDENCE LAYOUT,Golden shelters,600 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Kitchen Shelf,Dishwasher,Pre Paid Meter,24 Hours Electricity,Tiled Floor,Pop Ceiling",,,,
"₦ 200,000",none,Apartment,1 bedroom,1 bathroom,per annum,Book Foundation Ifite Awka Anambra State,,,Newly Built,Semi-Furnished,Pets Allowed,"Balcony,Hot Water,Kitchen Cabinets,Pre Paid Meter,24 Hours Electricity,Pop Ceiling,Wardrobe,Tiled Floor",,,,
"₦ 130,000",none,Apartment,1 bedroom,1 bathroom,per annum,Ifite Awka,Godfelic Lodge ( Kruz Enterprise),,Fairly Used,Semi-Furnished,Pets Allowed,"24 Hours Electricity,Balcony,Tiled Floor,Wardrobe",,,,
