price,location,house_type,rooms,bathrooms,rent_duration,property address,estate name,property size,condition,furnishing,pets,facilities,service charge,agency fee,legal and agreement fee,caution fee,housing quality,total rooms,parking space,smoking,parties,broker fee,new property,furnished
"₦ 1,200,000","Lagos, Kosofe, Ketu-Alapere",Apartment,3 bedrooms,3 bathrooms,per annum,bola hassan,bola hassan,,Renovated,Unfurnished,Pets Allowed,"Pre Paid Meter,Wardrobe,Balcony,24 Hours Electricity,Dining Area,Tiled Floor,Kitchen Shelf,Pop Ceiling",,,,,,,,,,,,
"₦ 500,000","Anambra, Awka",Apartment,3 bedrooms,4 bathrooms,per annum,Secretariet,Secretariet,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Balcony,Hot Water,Kitchen Shelf,Apartment,Chandelier,Wi-Fi,Dishwasher,Dining Area,Wardrobe,Pre Paid Meter,Kitchen Cabinets,24 Hours Electricity,Tiled Floor",Yes,50000.0,50000.0,50000.0,,,,,,,,
"₦ 800,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,old ifite Rd Awka,,450 sqm,Newly Built,Unfurnished,No Pets,"Kitchen Shelf,Balcony,24 Hours Electricity,Kitchen Cabinets,Tiled Floor,Pop Ceiling,Wardrobe,Pre Paid Meter,Wi-Fi,Dining Area",,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,Stadium Road,Stadium Road,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 450,000","Anambra, Awka",Block of Flats,3 bedrooms,3 bathrooms,per annum,Okpuno Awka,Joburge axis,252 sqm,Newly Built,Semi-Furnished,No Pets,"Dining Area,24 Hours Electricity,Pre Paid Meter,Wardrobe,Kitchen Shelf,Tiled Floor,Pop Ceiling,Kitchen Cabinets,Balcony,Hot Water",,,,,,,,,,,,
"₦ 600,000","Anambra, Awka",Apartment,3 bedrooms,4 bathrooms,per annum,Okpuno Awka,Okpuno Awka,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Kitchen Cabinets,Wi-Fi,Kitchen Shelf,Apartment,Balcony,Tiled Floor,Wardrobe,24 Hours Electricity,Pre Paid Meter,Dining Area",Yes,70000.0,100000.0,50000.0,,,,,,,,
"₦ 520,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,jorburg hotel okpuno,,450 sqm,Newly Built,Unfurnished,No Pets,"Balcony,Dining Area,Tiled Floor,Wardrobe,Wi-Fi,Kitchen Cabinets,24 Hours Electricity",,57000.0,70000.0,,,,,,,,,
"₦ 1,500,000","Lagos, Ajah, Olokonla",Block of Flats,3 bedrooms,3 bathrooms,per annum,Ogidan,Peace Estate,,Renovated,Unfurnished,,,,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Block of Flats,3 bedrooms,4 bathrooms,per annum,Victoria Island,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,3 bathrooms,per annum,Ikoyi,,,,Unfurnished,,,,,,,,,,,,,,
"₦ 5,500,000","Lagos, Victoria Island, 1004",Apartment,3 bedrooms,2 bathrooms,per annum,Victoria Island,1004 Estate,,Renovated,Furnished,No Pets,"Kitchen Shelf,Hot Water,Refrigerator,Air Conditioning,Balcony,Wardrobe,24 Hours Electricity,Pop Ceiling,TV,Dining Area,Kitchen Cabinets,Tiled Floor,Pre Paid Meter,Microwave",Yes,550000.0,275000.0,300000.0,,,,,,,,
"₦ 600,000","Imo, Owerri",Block of Flats,3 bedrooms,4 bathrooms,per annum,Naze No.1 Human race,Jeuidco Homes,1000 sqm,Newly Built,Furnished,,"Dining Area,Pre Paid Meter,24 Hours Electricity,Wardrobe,Pop Ceiling,Chandelier,Hot Water,Kitchen Cabinets,Balcony,Tiled Floor",,,,,,,,,,,,
"₦ 525,000","Ogun, Obafemi-Owode",Apartment,3 bedrooms,3 bathrooms,per annum,magboro,private estate,648 sqm,Fairly Used,Semi-Furnished,No Pets,"Dining Area,Kitchen Cabinets,Tiled Floor,Wardrobe,Apartment,Kitchen Shelf,Balcony,Dishwasher",,,,,,,,,,,,
"₦ 720,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Awka anambra state,"1-2-3 bed room flat, shop,Office space, Lands and properties",,Newly Built,Unfurnished,No Pets,"24 Hours Electricity,Wardrobe,Balcony,Tiled Floor,Dining Area,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Kitchen Shelf",,,,,,,,,,,,
"₦ 470,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,commissioners Qtrs Awka,,550 sqm,Newly Built,Unfurnished,No Pets,"Wi-Fi,Wardrobe,Balcony,Dining Area,Kitchen Shelf,Pop Ceiling,Kitchen Cabinets,24 Hours Electricity,Tiled Floor",,60000.0,50000.0,100000.0,,,,,,,,
"₦ 1,800,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,3 bathrooms,anually,,,,,Furnished,Pets Allowed,,,,,,,4.0,Yes,Allowed,Allowed,Yes,No,
"₦ 12,000,000","Lagos, Ikoyi, Gerard Road",Block of Flats,3 bedrooms,5 bathrooms,per annum,Ikoyi,Ikoyi,2000 sqm,Newly Built,Furnished,,"Dishwasher,Pop Ceiling,Balcony,Tiled Floor,Hot Water,Kitchen Cabinets,Wardrobe,Dining Area,Chandelier,Pre Paid Meter,Kitchen Shelf",,,,,,,,,,,,
"₦ 600,000",none,Block of Flats,3 bedrooms,3 bathrooms,per annum,"Community Estate ,Trans Ekulu",JKC Real Estate Pro,,Newly Built,Semi-Furnished,No Pets,"Tiled Floor,Pre Paid Meter,Dining Area,Balcony,Kitchen Shelf,24 Hours Electricity,Wardrobe,Kitchen Cabinets,Hot Water",,,,,,,,,,,,
"₦ 350,000",none,Townhouse,3 bedrooms,3 bathrooms,anually,rumuodara area,egbelu area behind delking transport company.,,Renovated,Unfurnished,,,,,,,,,,,,,,
"₦ 560,000","Ogun, Obafemi-Owode",Apartment,3 bedrooms,3 bathrooms,per annum,magboro,private estate,648 sqm,Fairly Used,Semi-Furnished,No Pets,"Balcony,Dining Area,Dishwasher,Wardrobe,Apartment,Kitchen Cabinets,Kitchen Shelf",,,,,,,,,,,,
"₦ 2,500,000","Lagos, Ajah, Thomas Estate",Apartment,3 bedrooms,3 bathrooms,per annum,danny a,Blue Sky,,Fairly Used,Semi-Furnished,,"Tiled Floor,Pre Paid Meter,Hot Water,Kitchen Shelf,Kitchen Cabinets,Dishwasher,Chandelier,Apartment,Microwave,Balcony,Dining Area,Pop Ceiling,Wardrobe",,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,3 bedrooms,4 bathrooms,per quarter,NAF Harmony Estate Off G U Ake Road Air Force Eliozu link Rd,NAF Harmony Estate,,Newly Built,Unfurnished,Pets Allowed,"Wardrobe,Chandelier,Pre Paid Meter,24 Hours Electricity,Tiled Floor,Dining Area,Kitchen Shelf,Hot Water,Pop Ceiling,Balcony,Kitchen Cabinets",,,,,,,,,,,,
"₦ 350,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,nkwelle estate,nkwelle axis,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Dining Area,Kitchen Shelf,Kitchen Cabinets,Wardrobe,Tiled Floor,Pre Paid Meter,24 Hours Electricity,Balcony,Dishwasher,Pop Ceiling",,,,,,,,,,,,
"₦ 400,000","Anambra, Awka",Block of Flats,3 bedrooms,4 bathrooms,per annum,AWKA,AWKA SOUTH,425 sqm,Newly Built,Furnished,No Pets,"Hot Water,Kitchen Shelf,Tiled Floor,Dining Area,Dishwasher,24 Hours Electricity,Kitchen Cabinets,Pop Ceiling,Balcony,Wardrobe,Pre Paid Meter",Yes,40.0,40.0,20.0,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,3 bedrooms,4 bathrooms,per annum,Shell Cooperative Estate Eliozu,Shell Cooperative Estate Eliozu,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 3,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,New GRA,,,Newly Built,Semi-Furnished,,"24 Hours Electricity,Air Conditioning",,,,,,,,,,,,
"₦ 500,000",none,Apartment,3 bedrooms,3 bathrooms,per quarter,Aguoye Estate Awka,,450 sqm,Fairly Used,Unfurnished,No Pets,"Wardrobe,24 Hours Electricity,Wi-Fi,Air Conditioning,Tiled Floor,Balcony,Kitchen Cabinets,Dining Area,Kitchen Shelf,Pop Ceiling,Pre Paid Meter",,,,,,,,,,,,
"₦ 540,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per annum,prof Avenue Spilbert Owerri.,,,Newly Built,Semi-Furnished,,"Kitchen Cabinets,Kitchen Shelf,Tiled Floor,Wardrobe,Dining Area,Apartment,Balcony",,,,,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",,,Fairly Used,Semi-Furnished,,"Apartment,Balcony,Tiled Floor,Pop Ceiling,Dining Area,Hot Water,Pre Paid Meter",,,,,,,,,,,,
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per quarter,Behind Saga Suite New Owerri,,,Newly Built,Semi-Furnished,,"Tiled Floor,Pop Ceiling,Dining Area,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Balcony,Pre Paid Meter",,,,,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",,,Fairly Used,Furnished,,"Dining Area,Pre Paid Meter,Tiled Floor,Kitchen Shelf,Balcony,Apartment,Wardrobe,Kitchen Cabinets,Pop Ceiling",,,,,,,,,,,,
"₦ 600,000","Imo, Owerri",Block of Flats,3 bedrooms,4 bathrooms,per annum,Naze No.1 Human race,Jeuidco Homes,1000 sqm,Newly Built,Furnished,,"Dining Area,Pre Paid Meter,24 Hours Electricity,Wardrobe,Pop Ceiling,Chandelier,Hot Water,Kitchen Cabinets,Balcony,Tiled Floor",,,,,,,,,,,,
"₦ 800,000","Imo, Owerri",Block of Flats,3 bedrooms,4 bathrooms,per annum,New city New Owerri,Jeuidco Homes,1000 sqm,Newly Built,Unfurnished,,"24 Hours Electricity,Chandelier,Kitchen Cabinets,Tiled Floor,Wardrobe,Hot Water,Apartment,Balcony,Pop Ceiling,Dining Area,Pre Paid Meter",,,,,,,,,,,,
"₦ 550,000","Imo, Owerri",Bungalow,3 bedrooms,3 bathrooms,anually,,,800 sqm,,Semi-Furnished,Pets Allowed,,,,,,,4.0,Yes,Allowed,Allowed,No,No,
"₦ 1,800,000","Imo, Owerri",Duplex,3 bedrooms,4 bathrooms,anually,,,800 sqm,,Semi-Furnished,Pets Allowed,,,,,,,4.0,Yes,Allowed,Allowed,No,No,
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,anually,,,2000 sqm,,Furnished,Pets Allowed,,,,,,,4.0,Yes,Allowed,Allowed,No,Yes,
"₦ 500,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,per annum,Located off Port Harcourt Road,,1200 sqm,Fairly Used,Furnished,No Pets,"Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 4,500,000","Abuja, Asokoro",Block of Flats,3 bedrooms,4 bathrooms,per annum,asokoro Extension,asokoro Extension,,Newly Built,Furnished,,,,,,,,,,,,,,
"₦ 17,000,000","Abuja, Asokoro",Block of Flats,3 bedrooms,4 bathrooms,per annum,asokoro Abuja,,,Fairly Used,Furnished,Pets Allowed,"Kitchen Shelf,24 Hours Electricity,Balcony,Tiled Floor,Pre Paid Meter,Chandelier,Refrigerator,Microwave,TV,Kitchen Cabinets,Air Conditioning,Wi-Fi,Dishwasher,Hot Water,Dining Area,Wardrobe,Pop Ceiling",,,,,,,,,,,,
"₦ 1,000,000","Abuja, Gwarinpa, Life Camp",Bungalow,1 bedroom,1 bathroom,per annum,efab city estate,efab city estate,,Fairly Used,Unfurnished,No Pets,"Kitchen Cabinets,Pre Paid Meter,Tiled Floor,Wardrobe,Balcony,Pop Ceiling",,,,,,,,,,,,
"₦ 1,400,000","Abuja, Jahi",Apartment,1 bedroom,2 bathrooms,per annum,jahi district,jahi 2,,Newly Built,Unfurnished,No Pets,"Hot Water,Wardrobe,Pop Ceiling,Dining Area,Kitchen Shelf,Kitchen Cabinets,Pre Paid Meter,Balcony,Tiled Floor,Apartment,Chandelier",Yes,,,,,,,,,,,
"₦ 1,700,000","Abuja, Durumi",Studio Apartment,1 bedroom,1 bathroom,per annum,durumi by American international school,durumi district,,Fairly Used,Furnished,No Pets,"Tiled Floor,Chandelier,Dining Area,Hot Water,Pre Paid Meter,Apartment,Air Conditioning,24 Hours Electricity,Kitchen Shelf,Wardrobe,TV,Balcony,Kitchen Cabinets,Microwave,Dishwasher,Pop Ceiling",Yes,10.0,5.0,,,,,,,,,
"₦ 300,000","Abuja, Nyanya",Block of Flats,1 bedroom,1 bathroom,per quarter,Nyanya,unity,2000 sqm,Old,Unfurnished,No Pets,"Pre Paid Meter,Tiled Floor,Kitchen Shelf,Wardrobe,Balcony",Yes,10.0,5.0,0.0,,,,,,,,
"₦ 450,000","Abuja, Lokogoma",Studio Apartment,1 bedroom,1 bathroom,per annum,lokogoma tarred road 🛣️,Pen city estate,,Newly Built,Unfurnished,,"24 Hours Electricity,Wardrobe,Kitchen Cabinets,Hot Water,Kitchen Shelf,Tiled Floor,Pop Ceiling",Yes,45000.0,22500.0,,,,,,,,,
"₦ 500,000","Abuja, Karu",Block of Flats,1 bedroom,2 bathrooms,per annum,A neat 1bedroom flat in abacha Road for rent,abacha Road,1000 sqm,Newly Built,Semi-Furnished,,"Pre Paid Meter,Wardrobe,Kitchen Cabinets,Balcony,Tiled Floor,Kitchen Shelf,Pop Ceiling",,,,,,,,,,,,
"₦ 1,400,000","Abuja, Jahi",Apartment,1 bedroom,2 bathrooms,per quarter,Jahi,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 900,000",none,Apartment,1 bedroom,1 bathroom,per annum,"Fafu Estate, off Turkish Nile University Junction",Fafu Reliable Homes Estate,100 sqm,Renovated,Furnished,,"Microwave,Tiled Floor,TV,Refrigerator,Air Conditioning,Kitchen Cabinets,Pop Ceiling,Wardrobe,Hot Water",,,,,,,,,,,,
"₦ 400,000","Abuja, Jahi",Block of Flats,1 bedroom,1 bathroom,per annum,Room and palour for rent in jahi community,Goodluck estate,,Renovated,Furnished,Pets Allowed,"24 Hours Electricity,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Tiled Floor",,,,,,,,,,,,
"₦ 350,000",none,Mini Flat,1 bedroom,1 bathroom,per quarter,Lokogoma,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 300,000",none,Apartment,1 bedroom,1 bathroom,per annum,aa1 kuje,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 250,000",none,Apartment,1 bedroom,1 bathroom,per annum,Abdul Avenue,,,Newly Built,Semi-Furnished,,"Kitchen Cabinets,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 350,000","Imo, Owerri",Block of Flats,1 bedroom,2 bathrooms,per annum,MCC road,Jeuidco Homes,500 sqm,Newly Built,Unfurnished,,"Balcony,Hot Water,24 Hours Electricity,Wardrobe,Kitchen Cabinets,Pop Ceiling,Tiled Floor,Chandelier,Dining Area",,,,,,,,,,,,
"₦ 300,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,per annum,"Behind Graceland Estate, Owerri",,,Newly Built,Semi-Furnished,,"Tiled Floor,Apartment,Pop Ceiling,Wardrobe",,,,,,,,,,,,
"₦ 400,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,anually,,,1500 sqm,,Semi-Furnished,No Pets,,,,,,,2,Yes,Allowed,Allowed,No,Yes,
"₦ 360,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,anually,Located in a good Neighborhood,,700 sqm,Newly Built,Semi-Furnished,No Pets,,,,,,Standard,2,Yes,,,,,
"₦ 360,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,anually,Located Around Spilbat Owerri,,1000 sqm,,Furnished,Pets Allowed,,,,,,,2,Yes,Allowed,Allowed,No,Yes,
"₦ 150,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,anually,,,1500 sqm,,Furnished,Pets Allowed,,,,,,,2,Yes,Allowed,Allowed,No,Yes,
"₦ 300,000","Imo, Owerri",Block of Flats,1 bedroom,1 bathroom,anually,Located at Ikenegbu,,800 sqm,Newly Built,Semi-Furnished,No Pets,,,,,,Standard,11+,Yes,,,,,
"₦ 240,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,anually,Located at Amakohia,,800 sqm,,Semi-Furnished,Pets Allowed,,,,,,,2,Yes,Allowed,Allowed,No,Yes,
"₦ 250,000","Imo, Owerri",Mini Flat,1 bedroom,1 bathroom,per annum,Located in Owerri,,,Newly Built,Unfurnished,No Pets,"24 Hours Electricity,Balcony,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor",,,,,,,,,,,,
"₦ 360,000","Imo, Owerri",Apartment,1 bedroom,2 bathrooms,per quarter,"Naze, Owerri imo state",,,Newly Built,Unfurnished,,"Tiled Floor,Kitchen Cabinets,Kitchen Shelf,Balcony,Wardrobe,Dining Area",,,,,,,,,,,,
"₦ 130,000",none,Block of Flats,1 bedroom,1 bathroom,per annum,Ihiagwa,,,Fairly Used,Unfurnished,No Pets,"Tiled Floor,Balcony",,,,,,,,,,,,
"₦ 220,000","Imo, Owerri",Apartment,1 bedroom,1 bathroom,per annum,Big tree Nekede,,,Fairly Used,Semi-Furnished,,"Pre Paid Meter,Balcony,Tiled Floor,Wardrobe,Pop Ceiling",,,,,,,,,,,,
"₦ 2,500,000","Imo, Owerri",Duplex,5 bedrooms,5 bathrooms,anually,,,700 sqm,,Semi-Furnished,Pets Allowed,,,,,,,6.0,Yes,Allowed,Allowed,No,Yes,
"₦ 1,500,000","Imo, Owerri",Duplex,5 bedrooms,5 bathrooms,anually,Located within Concord Axis,,2500 sqm,Fairly Used,Semi-Furnished,Pets Allowed,,,,,,Standard,6.0,Yes,Allowed,Allowed,No,,
"₦ 11,000,000","Abuja, Asokoro",Duplex,5 bedrooms,5 bathrooms,per annum,"21A Justice Sowemimo Stree, Asokoro, Abuja.",,,Old,Semi-Furnished,,,,,,,,,,,,,,
"₦ 3,500,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,per annum,7th avenue in Gwarinpa,,800 sqm,Fairly Used,Unfurnished,Pets Allowed,"Balcony,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 10,000,000","Abuja, Maitama",Duplex,10 bedrooms,5 bathrooms,per annum,maitama,,1000 sqm,Fairly Used,Unfurnished,No Pets,,,10.0,5.0,,,,,,,,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,maitama,,,Newly Built,Semi-Furnished,,"Chandelier,Air Conditioning,Dishwasher,Kitchen Shelf,Pop Ceiling,Kitchen Cabinets,Hot Water,Balcony,Dining Area,Refrigerator,Microwave,Wardrobe,Tiled Floor,Pre Paid Meter",,125000.0,1250000.0,,,,,,,,,
"₦ 10,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,anually,Off Gana Street,,,Fairly Used,Unfurnished,,,,,,,Standard,5.0,Yes,,,Yes,,
"₦ 5,500,000","Abuja, Lokogoma",Duplex,7 bedrooms,5 bathrooms,per annum,"Lokogoma District, Abuja",SuperView Estate,900 sqm,Newly Built,Furnished,Pets Allowed,"Balcony,Dining Area,Pop Ceiling,Hot Water,Wardrobe,Tiled Floor,Chandelier,Kitchen Shelf,Pre Paid Meter,Kitchen Cabinets",,500000.0,250000.0,250000.0,,,,,,,,
"₦ 9,000,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,anually,6th avenue Gwarinpa Estate,Gwarinpa Estate,100 sqm,Newly Built,Semi-Furnished,Pets Allowed,24 Hours Electricity,,50.0,50.0,0.0,,,,,,,,
"₦ 7,000,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,anually,Gwarinpa Estate,Gwarinpa Estate,100 sqm,Fairly Used,Unfurnished,Pets Allowed,24 Hours Electricity,,50.0,50.0,0.0,,,,,,,,
"₦ 11,000,000","Abuja, Asokoro",Duplex,5 bedrooms,5 bathrooms,per annum,"21A Justice Sowemimo Stree, Asokoro, Abuja.",,,Old,Semi-Furnished,,,,,,,,,,,,,,
"₦ 3,500,000","Abuja, Gwarinpa",Duplex,5 bedrooms,5 bathrooms,per annum,7th avenue in Gwarinpa,,800 sqm,Fairly Used,Unfurnished,Pets Allowed,"Balcony,Dining Area,Hot Water,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 15,000,000","Abuja, Asokoro",Duplex,5 bedrooms,5 bathrooms,anually,Asokoro,,1100 sqm,Fairly Used,Unfurnished,Pets Allowed,"Hot Water,Dishwasher",,5.0,5.0,,Standard,7.0,Yes,,,,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,anually,Maitama Main,,1400 sqm,Fairly Used,Unfurnished,,"Kitchen Shelf,Hot Water,Air Conditioning,Kitchen Cabinets,Dishwasher,Wardrobe,Chandelier,Tiled Floor,Dining Area,Pre Paid Meter",,5.0,5.0,,,,,,,,,
"₦ 20,000,000","Abuja, Asokoro",Duplex,6 bedrooms,5 bathrooms,per annum,Lord Lugard,,,Fairly Used,Semi-Furnished,Pets Allowed,"Chandelier,24 Hours Electricity,Microwave,Hot Water,Dining Area,Tiled Floor,Kitchen Cabinets,Pre Paid Meter,Wardrobe,Air Conditioning,Balcony,Pop Ceiling,Dishwasher,Kitchen Shelf",,,,,,,,,,,,
"₦ 25,000,000","Abuja, Maitama",Duplex,7 bedrooms,5 bathrooms,per annum,maitama,,1000 sqm,Fairly Used,Semi-Furnished,Pets Allowed,,,10.0,5.0,,,,,,,,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Off IBB Boulevard,,,Newly Built,Semi-Furnished,Pets Allowed,"Air Conditioning,Hot Water,Dishwasher,Microwave,Refrigerator",,5.0,5.0,,,,,,,,,
"₦ 17,000,000","Abuja, Wuse 2",Duplex,5 bedrooms,5 bathrooms,per annum,Aso Villa,Villa,,Fairly Used,Semi-Furnished,Pets Allowed,"Kitchen Cabinets,Chandelier,Pop Ceiling,Pre Paid Meter,Air Conditioning,Microwave,TV,Dining Area,Kitchen Shelf,24 Hours Electricity,Tiled Floor,Dishwasher,Hot Water,Refrigerator,Balcony,Wardrobe",,,,,,,,,,,,
"₦ 18,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,anually,Maitama Main,,1000 sqm,Fairly Used,Unfurnished,,"Dishwasher,Microwave,Pop Ceiling,Balcony,Hot Water,Pre Paid Meter,Chandelier,Air Conditioning,Kitchen Shelf,Dining Area,Kitchen Cabinets,Wardrobe,Tiled Floor",,5.0,5.0,,,,,,,,,
"₦ 25,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,anually,Maitama,,,Newly Built,Unfurnished,Pets Allowed,,,,,,Standard,5.0,Yes,,,,,
"₦ 20,000,000","Abuja, Asokoro",Duplex,5 bedrooms,5 bathrooms,per annum,Asokoro,,1500 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Tiled Floor,Dining Area,Chandelier,Dishwasher,Pop Ceiling,Kitchen Cabinets,Wardrobe,Air Conditioning,24 Hours Electricity,Kitchen Shelf,Microwave,Hot Water,Pre Paid Meter,Balcony,Refrigerator",,,,,,,,,,,,
"₦ 17,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Aso Drive Maitama,Aso Drive.,,Newly Built,Semi-Furnished,Pets Allowed,"Balcony,Kitchen Shelf,Pre Paid Meter,Pop Ceiling,Wardrobe,Hot Water,Kitchen Cabinets,Microwave,Dishwasher,Refrigerator,Chandelier,Dining Area,Tiled Floor",,,,,,,,,,,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,anually,Maitama Main,,1000 sqm,Fairly Used,Unfurnished,Pets Allowed,"Hot Water,Wardrobe,Dining Area,Pre Paid Meter,Chandelier,Kitchen Cabinets,Kitchen Shelf,Balcony,Air Conditioning,Tiled Floor,Dishwasher,Pop Ceiling",,,,,,,,,,,,
"₦ 45,000,000","Lagos, Ikoyi, Banana Island",Duplex,5 bedrooms,5 bathrooms,per annum,Ikoyi,ALL 3 units TERRACES,,,Semi-Furnished,,,,,,,,,,,,,,
"₦ 8,500,000","Lagos, Victoria Island",House,5 bedrooms,5 bathrooms,anually,,,,,Unfurnished,,,,,,,,5.0,Yes,,,,,
"₦ 2,000,000","Lagos, Ibeju, Abijo",Duplex,5 bedrooms,5 bathrooms,per annum,abijo GRA,off the express,350 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Tiled Floor,Wardrobe,Balcony,Dining Area",,10.0,10.0,100000.0,,,,,,,,
"₦ 7,500,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per quarter,Ikota,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 7,500,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,IKota,Serene and secured estate,,Newly Built,Semi-Furnished,Pets Allowed,"Kitchen Cabinets,Kitchen Shelf,Tiled Floor,Microwave,Pop Ceiling,Chandelier,Pre Paid Meter,Wardrobe,24 Hours Electricity,Hot Water,Refrigerator,Dining Area,Dishwasher,Balcony",Yes,750000.0,750000.0,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per annum,Secuted estate Ikota,,,Newly Built,Semi-Furnished,,"Chandelier,Apartment,Wardrobe,Microwave,24 Hours Electricity,Pre Paid Meter,Refrigerator,Kitchen Cabinets,Balcony,Air Conditioning,Tiled Floor,Dining Area,Pop Ceiling",Yes,,,,,,,,,,,
"₦ 20,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama,,,Newly Built,Unfurnished,,"Pre Paid Meter,Kitchen Cabinets,Pop Ceiling,Wardrobe,Apartment,Hot Water,Balcony,Kitchen Shelf,Tiled Floor,Chandelier,Dining Area,Dishwasher",,,,,,,,,,,,
"₦ 14,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama,,,Newly Built,Unfurnished,,"Kitchen Shelf,Pre Paid Meter,Pop Ceiling,Hot Water,Tiled Floor,Balcony,Wardrobe,Chandelier,Apartment,Kitchen Cabinets,Dining Area",,,,,,,,,,,,
"₦ 15,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama,,,Newly Built,Unfurnished,,"Kitchen Shelf,Apartment,Chandelier,Pre Paid Meter,Pop Ceiling,Tiled Floor,Balcony,Dining Area,Wardrobe,Hot Water,Kitchen Cabinets",,,,,,,,,,,,
"₦ 1,500,000",none,Duplex,5 bedrooms,4 bathrooms,per annum,North4th Damija,Damija,1000 sqm,Fairly Used,Semi-Furnished,Pets Allowed,"Kitchen Cabinets,Dining Area,24 Hours Electricity,Pre Paid Meter,Apartment,Balcony",,,,,,,,,,,,
