price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,PROPERTY SIZE,CONDITION,FURNISHING,PETS,FACILITIES,SERVICE CHARGE,AGENCY FEE,CAUTION FEE,LEGAL AND AGREEMENT FEE,TOTAL ROOMS,PARKING SPACE,HOUSING QUALITY,NEW PROPERTY,FURNISHED,SMOKING,PARTIES,BROKER FEE
"₦ 3,500,000","Lagos, Lekki, Osapa london",Apartment,3 bedrooms,3 bathrooms,per annum,by acadia estate osapa,osapa london,,,Unfurnished,,,,,,,,,,,,,,
"₦ 700,000",none,Block of Flats,3 bedrooms,3 bathrooms,per annum,"8 iyabo osifeso street, abijo",casia estate,,Fairly Used,Semi-Furnished,No Pets,"Kitchen Cabinets,Tiled Floor,Wardrobe,Pre Paid Meter,Kitchen Shelf,Pop Ceiling,Balcony,Dining Area,Hot Water",,,,,,,,,,,,
"₦ 3,500,000","Lagos, Lekki, Ikota",Apartment,3 bedrooms,3 bathrooms,per quarter,Lekki County,Lekki County,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 650,000","Lagos, Ipaja",Bungalow,3 bedrooms,3 bathrooms,per annum,Baruwa Ipaja,Baruwa Ipaja,600 sqm,Fairly Used,Semi-Furnished,No Pets,"24 Hours Electricity,Kitchen Cabinets,Pre Paid Meter,Balcony,Dining Area,Tiled Floor",,,,,,,,,,,,
"₦ 7,000,000","Borno, Guzamala",Block of Flats,3 bedrooms,4 bathrooms,per annum,Guzape,Guzape,1500 sqm,Newly Built,Semi-Furnished,Pets Allowed,"24 Hours Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Dishwasher,Pop Ceiling,Refrigerator,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 1,800,000","Lagos, Ibeju",Block of Flats,3 bedrooms,4 bathrooms,per annum,Thar Anex sangotedo,Thar Anex,600 sqm,Newly Built,Unfurnished,No Pets,"Kitchen Shelf,Kitchen Cabinets,Hot Water,Pop Ceiling,Tiled Floor,Balcony",Yes,10,10,10,,,,,,,,
"₦ 800,000","Enugu, Enugu / Enugu State",Block of Flats,3 bedrooms,4 bathrooms,per quarter,newheaven extension,newheaven extension,600 sqm,Newly Built,Semi-Furnished,,"Apartment,Balcony,Kitchen Shelf,Chandelier,Wardrobe,24 Hours Electricity,Pop Ceiling,Kitchen Cabinets,Dining Area",,,,,,,,,,,,
"₦ 200,000",none,Block of Flats,3 bedrooms,3 bathrooms,per annum,auchi sabo power line,no name,100 sqm,Fairly Used,Unfurnished,Pets Allowed,"Kitchen Cabinets,Wardrobe,Tiled Floor,Balcony,24 Hours Electricity,Apartment,Kitchen Shelf",Yes,10000,5000,10000,,,,,,,,
"₦ 15,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,4 bathrooms,per annum,Off 2nd Avenue,Banana Island,,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,
"₦ 1,300,000","Lagos, Lekki, Lekki Phase 2",Apartment,3 bedrooms,4 bathrooms,per annum,LBS,LBS,,Newly Built,Semi-Furnished,,"Hot Water,Pre Paid Meter,Tiled Floor,24 Hours Electricity,Dishwasher,Wardrobe,Pop Ceiling,Balcony,Kitchen Cabinets,Chandelier,Apartment,Dining Area",,,,,,,,,,,,
"₦ 2,000,000","Lagos, Lekki, Ikota",Apartment,3 bedrooms,3 bathrooms,per annum,3bedroom apartment for rent,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 5,000,000","Lagos, Victoria Island",House,3 bedrooms,4 bathrooms,anually,,,,,Unfurnished,,,,,,,3,Yes,,,,,,
"₦ 3,500,000","Lagos, Lekki, Ologolo",Apartment,3 bedrooms,3 bathrooms,per annum,3bedroom flat/apartment for rent,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",,,Fairly Used,Semi-Furnished,,"Apartment,Balcony,Tiled Floor,Pop Ceiling,Dining Area,Hot Water,Pre Paid Meter",,,,,,,,,,,,
"₦ 2,500,000",none,Townhouse/Terrace,3 bedrooms,4 bathrooms,per annum,Even estate badore,Even estate,,Newly Built,Furnished,Pets Allowed,24 Hours Electricity,Yes,10,150,10,,,,,,,,
"₦ 3,000,000","Lagos, Lekki",Apartment,3 bedrooms,4 bathrooms,per annum,"Off Freedom way , Lekki",off freedom way Lekki,,,Semi-Furnished,,"Kitchen Shelf,Kitchen Cabinets,Tiled Floor,Microwave,Balcony,Dining Area,Apartment,Pre Paid Meter,Pop Ceiling,Dishwasher,Chandelier,Wardrobe,Hot Water",Yes,,,,,,,,,,,
"₦ 700,000",none,Apartment,3 bedrooms,2 bathrooms,per annum,"idowu estate,adewumi adegbesan strt,fit global school Ajah",idowu estate,1000 sqm,Fairly Used,Unfurnished,No Pets,"Pre Paid Meter,Hot Water,Apartment,Wardrobe,Kitchen Cabinets,Tiled Floor",,,,,,,,,,,,
"₦ 1,000,000","Lagos, Ajah, Sangotedo",Block of Flats,3 bedrooms,4 bathrooms,per annum,Sharp 3 bedroom flat at Silver Land Estate sangotedo,Silver Land Estate Sangotedo,,Fairly Used,Furnished,,,,,,,,,,,,,,
"₦ 400,000","Lagos, Ipaja",Apartment,3 bedrooms,4 bathrooms,per annum,Bada area Ayobo.,,,Newly Built,Furnished,Pets Allowed,"Kitchen Cabinets,Kitchen Shelf,Balcony,Tiled Floor,Wardrobe,Dining Area",Yes,100000,50000,100000,,,,,,,,
"₦ 1,500,000","Lagos, Ajah",Duplex,3 bedrooms,4 bathrooms,per quarter,sangoterdo,around blanco,,,Unfurnished,,,,,,,,,,,,,,
"₦ 500,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Nibo,,450 sqm,Newly Built,Unfurnished,No Pets,"Dining Area,24 Hours Electricity,Pop Ceiling,Balcony,Wardrobe,Tiled Floor",,50000,,50000,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",,,Fairly Used,Furnished,,"Dining Area,Pre Paid Meter,Tiled Floor,Kitchen Shelf,Balcony,Apartment,Wardrobe,Kitchen Cabinets,Pop Ceiling",,,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,3 bathrooms,anually,Banana Island,,,Newly Built,Furnished,,,,,,,3,Yes,Standard,,,,,
"₦ 1,300,000","Lagos, Lekki, Lekki Phase 2",Apartment,3 bedrooms,4 bathrooms,per annum,Prime way,Lekki Scheme 2,,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island, Victoria Island Extension",Block of Flats,3 bedrooms,4 bathrooms,per annum,Off Adeola Odeku,,,Newly Built,Semi-Furnished,,"Dining Area,Tiled Floor,Chandelier,24 Hours Electricity,Pre Paid Meter,Pop Ceiling,Balcony,Apartment,Hot Water,Wardrobe,Kitchen Shelf,Kitchen Cabinets,Dishwasher",Yes,,,,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,umuoramma by capital city Awka.,,450 sqm,Newly Built,Unfurnished,,"Wi-Fi,24 Hours Electricity,Wardrobe,Tiled Floor",,48000,,80000,,,,,,,,
"₦ 600,000",none,Apartment,3 bedrooms,4 bathrooms,per annum,first mkt Ifite,,450 sqm,Newly Built,Unfurnished,,"Balcony,Wardrobe,Wi-Fi,Dining Area,Kitchen Cabinets,24 Hours Electricity",,60000,,50000,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Aguoye Estate by ziks Avenue Awka,,450 sqm,Newly Built,Unfurnished,No Pets,,,50000,,,,,,,,,,
"₦ 1,000,000","Lagos, Isolo, Okota",Shared Apartment,3 bedrooms,3 bathrooms,per quarter,ago palace way okota Lagos,peace estate,,Fairly Used,Semi-Furnished,Pets Allowed,"Pre Paid Meter,24 Hours Electricity,Kitchen Cabinets,Wardrobe",,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Lekki Phase 1",Penthouse,3 bedrooms,3 bathrooms,per annum,lekki,lekki,,Fairly Used,Semi-Furnished,,"Wardrobe,Pop Ceiling,Tiled Floor,Kitchen Shelf,Microwave,Pre Paid Meter,Air Conditioning,Kitchen Cabinets,24 Hours Electricity,Balcony,Hot Water,Dining Area",Yes,600000,,600000,,,,,,,,
"₦ 4,000,000","Lagos, Lekki, Lekki Phase 1",Apartment,3 bedrooms,4 bathrooms,per annum,"Lekki 1, Lagos",Off Admitlraty way,,Renovated,Semi-Furnished,,"Kitchen Shelf,Wardrobe,Balcony,Pop Ceiling,Kitchen Cabinets,Hot Water,Tiled Floor,Dining Area,Chandelier,Pre Paid Meter",,,,,,,,,,,,
"₦ 1,700,000","Lagos, Amuwo-Odofin",Apartment,3 bedrooms,3 bathrooms,per annum,Amuwo odofin,,,Newly Built,Unfurnished,Pets Allowed,"Pre Paid Meter,Chandelier,Dining Area,Kitchen Cabinets,Wardrobe,24 Hours Electricity,Balcony,Hot Water,Kitchen Shelf,Apartment,Pop Ceiling,Tiled Floor",,,,,,,,,,,,
"₦ 2,600,000","Lagos, Lekki",Apartment,3 bedrooms,4 bathrooms,per annum,orchid hotel road,orchid road not far inside,,,Semi-Furnished,,"Tiled Floor,Chandelier,Pop Ceiling,Dining Area,Kitchen Shelf,Apartment,Pre Paid Meter,Kitchen Cabinets,Wardrobe,Balcony,Dishwasher,Hot Water",,,,,,,,,,,,
"₦ 1,200,000","Lagos, Amuwo-Odofin",Block of Flats,3 bedrooms,3 bathrooms,per annum,Liberty Estate,Liberty,100 sqm,Newly Built,Semi-Furnished,No Pets,"Hot Water,Kitchen Shelf,Air Conditioning,Balcony,Wardrobe,24 Hours Electricity,Apartment,Dining Area,Pre Paid Meter,Tiled Floor,Kitchen Cabinets,Chandelier,Pop Ceiling",,,,,,,,,,,,
"₦ 750,000","Oyo, Egbeda, Egbeda / Egbeda",Block of Flats,3 bedrooms,3 bathrooms,per annum,Egbeda,,,Fairly Used,Semi-Furnished,Pets Allowed,"Tiled Floor,Kitchen Shelf,Kitchen Cabinets,Refrigerator,Apartment,24 Hours Electricity,Wardrobe,Pop Ceiling,Hot Water,Pre Paid Meter",,,,,,,,,,,,
"₦ 600,000",none,Block of Flats,3 bedrooms,2 bathrooms,per annum,"Community Estate ,Trans Ekulu",JKC Real Estate Pro,,Newly Built,Semi-Furnished,No Pets,"Balcony,Tiled Floor,Pre Paid Meter,Dining Area,Wardrobe,Kitchen Shelf,24 Hours Electricity,Kitchen Cabinets,Hot Water",Yes,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,,,,Fairly Used,Unfurnished,,,,,,,4,Yes,Standard,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Apartment,3 bedrooms,3 bathrooms,per annum,Victoria Island,,,,Unfurnished,,"Kitchen Cabinets,Pop Ceiling,Kitchen Shelf,Tiled Floor,24 Hours Electricity",,,,,,,,,,,,
"₦ 400,000","Anambra, Awka",Apartment,3 bedrooms,3 bathrooms,per annum,Okuno Awka,Okpuno Awka,500 sqm,Fairly Used,Unfurnished,Pets Allowed,"Wardrobe,Dining Area,24 Hours Electricity,Balcony,Wi-Fi,Pre Paid Meter,Tiled Floor",Yes,50000,,50000,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,4 bathrooms,anually,trans nkisi 33,,,Fairly Used,Semi-Furnished,No Pets,"24 Hours Electricity,Balcony,Dining Area",,50000,,50000,,,,,,,,
"₦ 650,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,book foundation,nil,,Fairly Used,Unfurnished,No Pets,"Hot Water,Dishwasher,Balcony,Refrigerator,Tiled Floor,24 Hours Electricity,Chandelier,Wardrobe,Pop Ceiling,Pre Paid Meter,Air Conditioning,Kitchen Cabinets,Dining Area",Yes,,,,,,,,,,,
"₦ 700,000","Ogun, Obafemi-Owode",Bungalow,3 bedrooms,4 bathrooms,per annum,"Lagos Ibadan Express Way, 3mins from Redemption Camp",Opic - New Makun City,,Newly Built,Semi-Furnished,Pets Allowed,,Yes,70000,100000,70000,,,,,,,,
"₦ 9,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,3 bathrooms,anually,,,,,,,,,,,,6,Yes,,Yes,Yes,,,
"₦ 36,000,000","Rivers, Port-Harcourt, GRA Phase 2 / Port-Harcourt",Block of Flats,3 bedrooms,4 bathrooms,per annum,New Gra,,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 350,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,ifite Awka,,450 sqm,Newly Built,Unfurnished,No Pets,"Balcony,Wi-Fi,24 Hours Electricity",,50000,,50000,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Flat,3 bedrooms,4 bathrooms,anually,,,,Newly Built,Unfurnished,,,,,,,3,Yes,Standard,,,,,
"₦ 600,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,commissioners quarters Awka.,,450 sqm,Newly Built,Unfurnished,Pets Allowed,"Wi-Fi,Wardrobe,Dining Area,24 Hours Electricity,Balcony,Pop Ceiling",,50000,,70000,,,,,,,,
"₦ 1,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,,,,Fairly Used,Unfurnished,,,,,,,3,Yes,Standard,,,,,
"₦ 600,000",none,Apartment,3 bedrooms,2 bathrooms,per annum,commissioners QTRS Awka,qtrs,450 sqm,Newly Built,Unfurnished,No Pets,"Pre Paid Meter,24 Hours Electricity,Dining Area,Wi-Fi,Tiled Floor,Kitchen Shelf,Pop Ceiling,Wardrobe,Balcony",,60000,100000,60000,,,,,,,,
"₦ 3,000,000","Lagos, Ajah, Lekki Gardens Estate",Duplex,3 bedrooms,3 bathrooms,per annum,abraham adesanya,,,,Semi-Furnished,,,,,,,,,,,,,,
"₦ 3,000,000","Lagos, Lekki",Block of Flats,3 bedrooms,4 bathrooms,per quarter,off fola osibo lekki phase 1,gated estate lekki phase 1,500 sqm,Renovated,Unfurnished,Pets Allowed,"Balcony,Microwave,Pre Paid Meter,Kitchen Cabinets,Pop Ceiling,Tiled Floor,Kitchen Shelf,Refrigerator,Hot Water,Dining Area,Chandelier,Wardrobe",,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Block of Flats,3 bedrooms,4 bathrooms,per annum,Victoria Island,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 1,300,000","Lagos, Ajah, Canaan Estate",Apartment,3 bedrooms,4 bathrooms,per annum,Lagos business school,LBS,,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,
"₦ 600,000","Lagos, Ipaja, Ayobo",Block of Flats,3 bedrooms,4 bathrooms,per annum,asipa ayobo,,600 sqm,Fairly Used,Furnished,,,,,,,,,,,,,,
"₦ 1,000,000","Lagos, Isolo, Okota",Block of Flats,3 bedrooms,3 bathrooms,per annum,Green Field Estate Amuwo Odofin,Green Field Estate,100 sqm,Newly Built,Semi-Furnished,No Pets,"Tiled Floor,Dining Area,Apartment,24 Hours Electricity,Wardrobe,Air Conditioning,Kitchen Cabinets,Kitchen Shelf,Hot Water,Pre Paid Meter,Balcony,Pop Ceiling",Yes,100000,100000,100000,,,,,,,,
"₦ 4,500,000","Rivers, Port-Harcourt",Duplex,3 bedrooms,4 bathrooms,anually,Old GRA PH,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 500,000","Anambra, Awka",Apartment,3 bedrooms,3 bathrooms,per annum,Near Government house axis,Near Government house axis,500 sqm,Newly Built,Unfurnished,No Pets,"Pre Paid Meter,Apartment,Air Conditioning,24 Hours Electricity,Tiled Floor,Hot Water,Dining Area,Wi-Fi,Balcony,Wardrobe,Kitchen Shelf,Kitchen Cabinets",Yes,60000,,50000,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Behind UBA by ziks Avenue Awka,,450 sqm,Fairly Used,Unfurnished,Pets Allowed,"Wi-Fi,24 Hours Electricity,Dining Area,Balcony,Pre Paid Meter",,35000,,50000,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,4 bathrooms,per annum,Aguoye Estate Awka,,550 sqm,Newly Built,Unfurnished,No Pets,"24 Hours Electricity,Dining Area,Wardrobe,Kitchen Cabinets,Pre Paid Meter,Balcony",,55000,,50000,,,,,,,,
"₦ 1,800,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 500,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Amaenyi Awka,,450 sqm,Newly Built,Unfurnished,No Pets,,,50000,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi, Banana Island",Apartment,3 bedrooms,3 bathrooms,per quarter,Ikoyi Lagos,Banana island estate ikoyi,,Fairly Used,Semi-Furnished,Pets Allowed,"24 Hours Electricity,Air Conditioning,Dining Area,Balcony,Hot Water,Apartment,Kitchen Shelf,Dishwasher,Microwave,Chandelier",,,,,,,,,,,,
"₦ 1,200,000","Lagos, Kosofe, Ketu-Alapere",Apartment,3 bedrooms,3 bathrooms,per annum,bola hassan,bola hassan,,Renovated,Unfurnished,Pets Allowed,"Pre Paid Meter,Wardrobe,Balcony,24 Hours Electricity,Dining Area,Tiled Floor,Kitchen Shelf,Pop Ceiling",,,,,,,,,,,,
"₦ 500,000","Anambra, Awka",Apartment,3 bedrooms,4 bathrooms,per annum,Secretariet,Secretariet,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Balcony,Hot Water,Kitchen Shelf,Apartment,Chandelier,Wi-Fi,Dishwasher,Dining Area,Wardrobe,Pre Paid Meter,Kitchen Cabinets,24 Hours Electricity,Tiled Floor",Yes,50000,50000,50000,,,,,,,,
"₦ 800,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,old ifite Rd Awka,,450 sqm,Newly Built,Unfurnished,No Pets,"Kitchen Shelf,Balcony,24 Hours Electricity,Kitchen Cabinets,Tiled Floor,Pop Ceiling,Wardrobe,Pre Paid Meter,Wi-Fi,Dining Area",,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,Stadium Road,Stadium Road,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 450,000","Anambra, Awka",Block of Flats,3 bedrooms,3 bathrooms,per annum,Okpuno Awka,Joburge axis,252 sqm,Newly Built,Semi-Furnished,No Pets,"Dining Area,24 Hours Electricity,Pre Paid Meter,Wardrobe,Kitchen Shelf,Tiled Floor,Pop Ceiling,Kitchen Cabinets,Balcony,Hot Water",,,,,,,,,,,,
"₦ 600,000","Anambra, Awka",Apartment,3 bedrooms,4 bathrooms,per annum,Okpuno Awka,Okpuno Awka,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Kitchen Cabinets,Wi-Fi,Kitchen Shelf,Apartment,Balcony,Tiled Floor,Wardrobe,24 Hours Electricity,Pre Paid Meter,Dining Area",Yes,70000,50000,100000,,,,,,,,
"₦ 520,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,jorburg hotel okpuno,,450 sqm,Newly Built,Unfurnished,No Pets,"Balcony,Dining Area,Tiled Floor,Wardrobe,Wi-Fi,Kitchen Cabinets,24 Hours Electricity",,57000,,70000,,,,,,,,
"₦ 1,500,000","Lagos, Ajah, Olokonla",Block of Flats,3 bedrooms,3 bathrooms,per annum,Ogidan,Peace Estate,,Renovated,Unfurnished,,,,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Block of Flats,3 bedrooms,4 bathrooms,per annum,Victoria Island,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,3 bathrooms,per annum,Ikoyi,,,,Unfurnished,,,,,,,,,,,,,,
"₦ 5,500,000","Lagos, Victoria Island, 1004",Apartment,3 bedrooms,2 bathrooms,per annum,Victoria Island,1004 Estate,,Renovated,Furnished,No Pets,"Kitchen Shelf,Hot Water,Refrigerator,Air Conditioning,Balcony,Wardrobe,24 Hours Electricity,Pop Ceiling,TV,Dining Area,Kitchen Cabinets,Tiled Floor,Pre Paid Meter,Microwave",Yes,550000,300000,275000,,,,,,,,
"₦ 600,000","Imo, Owerri",Block of Flats,3 bedrooms,4 bathrooms,per annum,Naze No.1 Human race,Jeuidco Homes,1000 sqm,Newly Built,Furnished,,"Dining Area,Pre Paid Meter,24 Hours Electricity,Wardrobe,Pop Ceiling,Chandelier,Hot Water,Kitchen Cabinets,Balcony,Tiled Floor",,,,,,,,,,,,
"₦ 525,000","Ogun, Obafemi-Owode",Apartment,3 bedrooms,3 bathrooms,per annum,magboro,private estate,648 sqm,Fairly Used,Semi-Furnished,No Pets,"Dining Area,Kitchen Cabinets,Tiled Floor,Wardrobe,Apartment,Kitchen Shelf,Balcony,Dishwasher",,,,,,,,,,,,
"₦ 720,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Awka anambra state,"1-2-3 bed room flat, shop,Office space, Lands and properties",,Newly Built,Unfurnished,No Pets,"24 Hours Electricity,Wardrobe,Balcony,Tiled Floor,Dining Area,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Kitchen Shelf",,,,,,,,,,,,
"₦ 470,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,commissioners Qtrs Awka,,550 sqm,Newly Built,Unfurnished,No Pets,"Wi-Fi,Wardrobe,Balcony,Dining Area,Kitchen Shelf,Pop Ceiling,Kitchen Cabinets,24 Hours Electricity,Tiled Floor",,60000,100000,50000,,,,,,,,
"₦ 1,800,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,3 bathrooms,anually,,,,,Furnished,Pets Allowed,,,,,,4,Yes,,No,,Allowed,Allowed,Yes
"₦ 12,000,000","Lagos, Ikoyi, Gerard Road",Block of Flats,3 bedrooms,5 bathrooms,per annum,Ikoyi,Ikoyi,2000 sqm,Newly Built,Furnished,,"Dishwasher,Pop Ceiling,Balcony,Tiled Floor,Hot Water,Kitchen Cabinets,Wardrobe,Dining Area,Chandelier,Pre Paid Meter,Kitchen Shelf",,,,,,,,,,,,
"₦ 600,000",none,Block of Flats,3 bedrooms,3 bathrooms,per annum,"Community Estate ,Trans Ekulu",JKC Real Estate Pro,,Newly Built,Semi-Furnished,No Pets,"Tiled Floor,Pre Paid Meter,Dining Area,Balcony,Kitchen Shelf,24 Hours Electricity,Wardrobe,Kitchen Cabinets,Hot Water",,,,,,,,,,,,
"₦ 350,000",none,Townhouse,3 bedrooms,3 bathrooms,anually,rumuodara area,egbelu area behind delking transport company.,,Renovated,Unfurnished,,,,,,,,,,,,,,
"₦ 560,000","Ogun, Obafemi-Owode",Apartment,3 bedrooms,3 bathrooms,per annum,magboro,private estate,648 sqm,Fairly Used,Semi-Furnished,No Pets,"Balcony,Dining Area,Dishwasher,Wardrobe,Apartment,Kitchen Cabinets,Kitchen Shelf",,,,,,,,,,,,
"₦ 2,500,000","Lagos, Ajah, Thomas Estate",Apartment,3 bedrooms,3 bathrooms,per annum,danny a,Blue Sky,,Fairly Used,Semi-Furnished,,"Tiled Floor,Pre Paid Meter,Hot Water,Kitchen Shelf,Kitchen Cabinets,Dishwasher,Chandelier,Apartment,Microwave,Balcony,Dining Area,Pop Ceiling,Wardrobe",,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,3 bedrooms,4 bathrooms,per quarter,NAF Harmony Estate Off G U Ake Road Air Force Eliozu link Rd,NAF Harmony Estate,,Newly Built,Unfurnished,Pets Allowed,"Wardrobe,Chandelier,Pre Paid Meter,24 Hours Electricity,Tiled Floor,Dining Area,Kitchen Shelf,Hot Water,Pop Ceiling,Balcony,Kitchen Cabinets",,,,,,,,,,,,
